price,region,address,bedrooms,bathrooms,pricem
799000,"Ajax, ON","2 ROLLO DR, Ajax, Ontario",3,3,0.799
989000,"Ajax, ON","717 OLD HARWOOD AVE, Ajax, Ontario",2,1,0.989
999900,"Ajax, ON","52 ADDLEY CRES, Ajax, Ontario",3,4,0.9999
799900,"Ajax, ON","249 MONARCH AVE, Ajax, Ontario",3,3,0.7999
899999,"Ajax, ON","18 MONK CRES, Ajax, Ontario",3,3,0.899999
1199000,"Ajax, ON","4 SALLIS DR, Ajax, Ontario",4,3,1.199
899000,"Ajax, ON","38 E COXHEAD Lane, Durham, Ontario",3,0,0.899
1449000,"Ajax, ON","4 BIGGS DR, Ajax, Ontario",4,4,1.449
549900,"Ajax, ON","#415 -191 LAKE DRIVEWAY WAY, Ajax, Ontario",2,2,0.5499
1088000,"Ajax, ON","899 FINLEY AVE, Ajax, Ontario",3,3,1.088
899999,"Ajax, ON",Address not available,3,3,0.899999
633000,"Ajax, ON","#502 -92 CHURCH ST S, Ajax, Ontario",2,2,0.633
899000,"Ajax, ON","38 COXHEAD LANE, Ajax, Ontario",3,3,0.899
1199000,"Ajax, ON","4 STOCKBRIDGE CRES, Ajax, Ontario",3,3,1.199
899000,"Ajax, ON","57 CULLCASTLE ST, Ajax, Ontario",3,3,0.899
999900,"Ajax, ON","11 BOOKER DR, Ajax, Ontario",3,3,0.9999
999900,"Ajax, ON","14 TILLER ST, Ajax, Ontario",3,3,0.9999
999900,"Ajax, ON","14 TILLER Street, Ajax, Ontario",3,3,0.9999
938800,"Ajax, ON","93 CARPENDALE CRES, Ajax, Ontario",3,3,0.9388
1199999,"Ajax, ON","31 BELLOTTI CRES, Ajax, Ontario",4,3,1.199999
999000,"Ajax, ON","18 CRANLEY CRT, Ajax, Ontario",3,4,0.999
899000,"Ajax, ON","100 CHRISTENA CRES, Ajax, Ontario",3,2,0.899
850000,"Ajax, ON","37 BEATTY RD, Ajax, Ontario",3,2,0.85
1289900,"Ajax, ON","25 DEVERILL CRES, Ajax, Ontario",3,3,1.2899
1395000,"Ajax, ON","48 LOUGHLIN HILL CRES, Ajax, Ontario",2,3,1.395
775000,"Ajax, ON","124 CARPENDALE CRES, Ajax, Ontario",3,2,0.775
999000,"Ajax, ON","113 ELLIOTTGLEN DR, Ajax, Ontario",3,4,0.999
1190000,"Ajax, ON","24 RAITHBY CRES, Ajax, Ontario",4,4,1.19
950000,"Ajax, ON","38 CEDAR ST, Ajax, Ontario",4,2,0.95
729000,"Ajax, ON","160 CLEMENTS RD E, Ajax, Ontario",3,3,0.729
1099000,"Ajax, ON","22 COUGHLEN ST, Ajax, Ontario",3,3,1.099
749900,"Ajax, ON","29 CLOWES ST W, Ajax, Ontario",2,3,0.7499
1799000,"Ajax, ON","16 BRICE DR, Ajax, Ontario",4,5,1.799
1099000,"Ajax, ON","44 STRICKLAND DR, Ajax, Ontario",4,4,1.099
999898,"Ajax, ON","18 FITZGERALD DR, Ajax, Ontario",2,2,0.999898
699000,"Ajax, ON","16 THORNHARROLD ST, Ajax, Ontario",2,2,0.699
1149000,"Ajax, ON","42 ATHERTON AVE, Ajax, Ontario",3,3,1.149
990000,"Ajax, ON","91 FEINT DR, Ajax, Ontario",3,4,0.99
949900,"Ajax, ON","28 ELGIN ST, Ajax, Ontario",3,2,0.9499
989900,"Ajax, ON","487 ROSSLAND RD E, Ajax, Ontario",3,3,0.9899
998000,"Ajax, ON","51 GURR CRES, Ajax, Ontario",3,4,0.998
1099000,"Ajax, ON","36 TODHUNTER CRES, Ajax, Ontario",3,4,1.099
800000,"Ajax, ON","20 WEEKES DR, Ajax, Ontario",3,2,0.8
1799900,"Ajax, ON","141 ELIZABETH ST, Ajax, Ontario",4,4,1.7999
1388000,"Ajax, ON","127 KEARNEY DR, Ajax, Ontario",4,4,1.388
949900,"Ajax, ON","134 ATHERTON AVE, Ajax, Ontario",3,3,0.9499
699000,"Ajax, ON","92 BURCHER RD, Ajax, Ontario",3,1,0.699
699000,"Ajax, ON","31 WINDSOR AVE, Ajax, Ontario",3,1,0.699
899000,"Ajax, ON","58 BOOTH CRES, Ajax, Ontario",3,3,0.899
849900,"Ajax, ON","9 MILLINGTON CRES, Ajax, Ontario",3,4,0.8499
999999,"Ajax, ON","66 KNAPTON AVE, Ajax, Ontario",4,4,0.999999
1200000,"Ajax, ON","804 AUDLEY RD S, Ajax, Ontario",4,4,1.2
799990,"Ajax, ON","571 ROSSLAND RD E, Ajax, Ontario",3,3,0.79999
799900,"Ajax, ON","44 HORNSELL CIRC, Ajax, Ontario",3,3,0.7999
1499900,"Ajax, ON","8 SIVYER CRES, Ajax, Ontario",4,4,1.4999
899000,"Ajax, ON","38 BOYLETT RD, Ajax, Ontario",4,3,0.899
749000,"Ajax, ON","128 WRIGHT CRES, Ajax, Ontario",3,3,0.749
699900,"Ajax, ON","#1211 -2 WESTNEY RD N, Ajax, Ontario",2,2,0.6999
1250000,"Ajax, ON","76 RADFORD DR, Ajax, Ontario",3,4,1.25
999000,"Ajax, ON","36 ADMIRAL RD, Ajax, Ontario",3,2,0.999
879900,"Ajax, ON","26 ALDONSCHOOL CRT, Ajax, Ontario",3,4,0.8799
989900,"Ajax, ON","38 O'DELL CRT, Ajax, Ontario",3,2,0.9899
799900,"Ajax, ON","479 ROSSLAND RD E, Ajax, Ontario",3,3,0.7999
1399000,"Ajax, ON","42 WILSONGARY CIRC, Ajax, Ontario",4,3,1.399
